Layer,Interval_Start,Interval_End,Start_SD,End_SD,Start_Activation,End_Activation,Actual_Start_Percentile,Actual_End_Percentile
0,0.0,25.0,-2.0,0.0,-0.2953,-0.0388,7.351444,37.916981
0,25.0,50.0,-1.0,1.0,-0.1671,0.0894,37.916981,96.93471299999999
0,50.0,75.0,0.0,1.0,-0.0388,0.0894,96.93471299999999,96.93471299999999
0,75.0,90.0,0.0,1.0,-0.0388,0.0894,96.93471299999999,96.93471299999999
0,90.0,95.0,0.0,1.0,-0.0388,0.0894,96.93471299999999,96.93471299999999
0,95.0,99.0,0.0,3.0,-0.0388,0.3458,96.93471299999999,99.144539
0,99.0,99.9,2.0,13.0,0.2176,1.6278,99.144539,99.90511
0,99.9,99.99,12.0,25.0,1.4996,3.1662,99.90511,99.991546
0,99.99,99.999,24.0,35.0,3.038,4.4483,99.991546,99.99906299999999
0,99.999,99.9999,34.0,47.0,4.3201,5.9867,99.99906299999999,99.999911
0,99.9999,99.99999,46.0,59.0,5.8585,7.5251,99.999911,99.99999000000001
0,99.99999,100.0,58.0,82.0,7.3969,10.4738,99.99999000000001,100.0
1,0.0,25.0,-2.0,0.0,-0.5143,-0.0009,0.0,71.736976
1,25.0,50.0,-1.0,0.0,-0.2576,-0.0009,71.736976,71.736976
1,50.0,75.0,-1.0,1.0,-0.2576,0.2558,71.736976,90.725083
1,75.0,90.0,0.0,1.0,-0.0009,0.2558,90.725083,90.725083
1,90.0,95.0,0.0,2.0,-0.0009,0.5125,90.725083,95.670857
1,95.0,99.0,1.0,5.0,0.2558,1.2825,95.670857,99.272922
1,99.0,99.9,4.0,9.0,1.0259,2.3093,99.272922,99.92611
1,99.9,99.99,8.0,13.0,2.0526,3.3361,99.92611,99.99274700000001
1,99.99,99.999,12.0,18.0,3.0794,4.6196,99.99274700000001,99.99906299999999
1,99.999,99.9999,17.0,26.0,4.3629,6.6731,99.99906299999999,99.999905
1,99.9999,99.99999,25.0,37.0,6.4164,9.4968,99.999905,99.999995
1,99.99999,100.0,36.0,42.0,9.2401,10.7802,99.999995,100.0
2,0.0,25.0,-2.0,0.0,-0.3894,-0.037,0.0,66.863648
2,25.0,50.0,-1.0,0.0,-0.2132,-0.037,66.863648,66.863648
2,50.0,75.0,-1.0,1.0,-0.2132,0.1392,66.863648,88.576535
2,75.0,90.0,0.0,2.0,-0.037,0.3155,88.576535,95.05222599999999
2,90.0,95.0,1.0,2.0,0.1392,0.3155,95.05222599999999,95.05222599999999
2,95.0,99.0,1.0,4.0,0.1392,0.6679,95.05222599999999,99.07876300000001
2,99.0,99.9,3.0,8.0,0.4917,1.3728,99.07876300000001,99.922068
2,99.9,99.99,7.0,13.0,1.1965,2.2538,99.922068,99.993859
2,99.99,99.999,12.0,17.0,2.0776,2.9587,99.993859,99.99906899999999
2,99.999,99.9999,16.0,22.0,2.7825,3.8398,99.99906899999999,99.9999
2,99.9999,99.99999,21.0,27.0,3.6636,4.7209,99.9999,99.999992
2,99.99999,100.0,26.0,35.0,4.5446,6.1306,99.999992,100.0
3,0.0,25.0,-2.0,0.0,-0.3603,-0.047,0.0,66.038457
3,25.0,50.0,-1.0,0.0,-0.2036,-0.047,66.038457,66.038457
3,50.0,75.0,-1.0,1.0,-0.2036,0.1097,66.038457,88.152991
3,75.0,90.0,0.0,2.0,-0.047,0.2664,88.152991,95.034509
3,90.0,95.0,1.0,2.0,0.1097,0.2664,95.034509,95.034509
3,95.0,99.0,1.0,4.0,0.1097,0.5797,95.034509,99.037555
3,99.0,99.9,3.0,7.0,0.4231,1.0498,99.037555,99.908266
3,99.9,99.99,6.0,11.0,0.8931,1.6765,99.908266,99.99293999999999
3,99.99,99.999,10.0,15.0,1.5198,2.3031,99.99293999999999,99.999202
3,99.999,99.9999,14.0,19.0,2.1465,2.9298,99.999202,99.99993
3,99.9999,99.99999,18.0,22.0,2.7732,3.3999,99.99993,99.99999000000001
3,99.99999,100.0,21.0,31.0,3.2432,4.8099,99.99999000000001,100.0
4,0.0,25.0,-2.0,0.0,-0.361,-0.0456,0.0,66.139949
4,25.0,50.0,-1.0,0.0,-0.2033,-0.0456,66.139949,66.139949
4,50.0,75.0,-1.0,1.0,-0.2033,0.1121,66.139949,88.26539100000001
4,75.0,90.0,0.0,2.0,-0.0456,0.2698,88.26539100000001,95.180897
4,90.0,95.0,1.0,2.0,0.1121,0.2698,95.180897,95.180897
4,95.0,99.0,1.0,4.0,0.1121,0.5851,95.180897,99.018675
4,99.0,99.9,3.0,8.0,0.4275,1.2159,99.018675,99.949079
4,99.9,99.99,7.0,11.0,1.0582,1.689,99.949079,99.992742
4,99.99,99.999,10.0,15.0,1.5313,2.3197,99.992742,99.99915299999999
4,99.999,99.9999,14.0,20.0,2.162,3.1081,99.99915299999999,99.999939
4,99.9999,99.99999,19.0,24.0,2.9505,3.7389,99.999939,99.999993
4,99.99999,100.0,23.0,29.0,3.5812,4.5273,99.999993,100.0
5,0.0,25.0,-2.0,0.0,-0.3398,-0.0567,0.0,64.849089
5,25.0,50.0,-1.0,0.0,-0.1982,-0.0567,64.849089,64.849089
5,50.0,75.0,-1.0,1.0,-0.1982,0.0849,64.849089,88.832301
5,75.0,90.0,0.0,2.0,-0.0567,0.2264,88.832301,95.309286
5,90.0,95.0,1.0,2.0,0.0849,0.2264,95.309286,95.309286
5,95.0,99.0,1.0,4.0,0.0849,0.5095,95.309286,99.047788
5,99.0,99.9,3.0,8.0,0.368,1.0757,99.047788,99.921587
5,99.9,99.99,7.0,13.0,0.9342,1.7834,99.921587,99.99189899999999
5,99.99,99.999,12.0,20.0,1.6419,2.7743,99.99189899999999,99.999039
5,99.999,99.9999,19.0,27.0,2.6327,3.7651,99.999039,99.999923
5,99.9999,99.99999,26.0,31.0,3.6236,4.3313,99.999923,99.999992
5,99.99999,100.0,30.0,37.0,4.1898,5.1806,99.999992,100.0
6,0.0,25.0,-2.0,0.0,-0.3495,-0.0628,0.0,64.345118
6,25.0,50.0,-1.0,0.0,-0.2061,-0.0628,64.345118,64.345118
6,50.0,75.0,-1.0,1.0,-0.2061,0.0806,64.345118,90.818718
6,75.0,90.0,0.0,1.0,-0.0628,0.0806,90.818718,90.818718
6,90.0,95.0,0.0,2.0,-0.0628,0.224,90.818718,95.565185
6,95.0,99.0,1.0,5.0,0.0806,0.6541,95.565185,99.37199100000001
6,99.0,99.9,4.0,9.0,0.5107,1.2275,99.37199100000001,99.93178
6,99.9,99.99,8.0,14.0,1.0841,1.9443,99.93178,99.99232099999999
6,99.99,99.999,13.0,20.0,1.8009,2.8045,99.99232099999999,99.999151
6,99.999,99.9999,19.0,26.0,2.6611,3.6647,99.999151,99.999941
6,99.9999,99.99999,25.0,30.0,3.5213,4.2381,99.999941,99.999996
6,99.99999,100.0,29.0,43.0,4.0947,6.1018,99.999996,100.0
7,0.0,25.0,-2.0,0.0,-0.3612,-0.0582,0.0,62.85740800000001
7,25.0,50.0,-1.0,0.0,-0.2097,-0.0582,62.85740800000001,62.85740800000001
7,50.0,75.0,-1.0,1.0,-0.2097,0.0933,62.85740800000001,92.40425
7,75.0,90.0,0.0,1.0,-0.0582,0.0933,92.40425,92.40425
7,90.0,95.0,0.0,2.0,-0.0582,0.2447,92.40425,96.013605
7,95.0,99.0,1.0,5.0,0.0933,0.6992,96.013605,99.30900299999999
7,99.0,99.9,4.0,10.0,0.5477,1.4566,99.30900299999999,99.919037
7,99.9,99.99,9.0,17.0,1.3052,2.517,99.919037,99.992367
7,99.99,99.999,16.0,22.0,2.3656,3.2745,99.992367,99.99915299999999
7,99.999,99.9999,21.0,26.0,3.123,3.8804,99.99915299999999,99.99990600000001
7,99.9999,99.99999,25.0,30.0,3.7289,4.4864,99.99990600000001,99.999996
7,99.99999,100.0,29.0,33.0,4.3349,4.9408,99.999996,100.0
8,0.0,25.0,-2.0,0.0,-0.3233,-0.0336,0.0,44.51938
8,25.0,50.0,-1.0,1.0,-0.1785,0.1113,44.51938,97.316252
8,50.0,75.0,0.0,1.0,-0.0336,0.1113,97.316252,97.316252
8,75.0,90.0,0.0,1.0,-0.0336,0.1113,97.316252,97.316252
8,90.0,95.0,0.0,1.0,-0.0336,0.1113,97.316252,97.316252
8,95.0,99.0,0.0,4.0,-0.0336,0.5459,97.316252,99.020454
8,99.0,99.9,3.0,13.0,0.401,1.8497,99.020454,99.905798
8,99.9,99.99,12.0,22.0,1.7048,3.1535,99.905798,99.99040000000001
8,99.99,99.999,21.0,33.0,3.0087,4.7471,99.99040000000001,99.999032
8,99.999,99.9999,32.0,47.0,4.6022,6.7753,99.999032,99.999918
8,99.9999,99.99999,46.0,59.0,6.6304,8.5137,99.999918,99.99999000000001
8,99.99999,100.0,58.0,73.0,8.3689,10.5419,99.99999000000001,100.0
9,0.0,25.0,-2.0,0.0,-0.5344,0.0149,0.0,98.000468
9,25.0,50.0,-1.0,0.0,-0.2597,0.0149,98.000468,98.000468
9,50.0,75.0,-1.0,0.0,-0.2597,0.0149,98.000468,98.000468
9,75.0,90.0,-1.0,0.0,-0.2597,0.0149,98.000468,98.000468
9,90.0,95.0,-1.0,0.0,-0.2597,0.0149,98.000468,98.000468
9,95.0,99.0,-1.0,3.0,-0.2597,0.8389,98.000468,99.11037400000001
9,99.0,99.9,2.0,16.0,0.5642,4.4094,99.11037400000001,99.906457
9,99.9,99.99,15.0,30.0,4.1348,8.2546,99.906457,99.99022400000001
9,99.99,99.999,29.0,39.0,7.9799,10.7265,99.99022400000001,99.999042
9,99.999,99.9999,38.0,47.0,10.4518,12.9237,99.999042,99.999916
9,99.9999,99.99999,46.0,54.0,12.6491,14.8463,99.999916,99.99999000000001
9,99.99999,100.0,53.0,63.0,14.5716,17.3182,99.99999000000001,100.0
10,0.0,25.0,-2.0,0.0,-0.6726,0.0215,0.0,98.125538
10,25.0,50.0,-1.0,0.0,-0.3255,0.0215,98.125538,98.125538
10,50.0,75.0,-1.0,0.0,-0.3255,0.0215,98.125538,98.125538
10,75.0,90.0,-1.0,0.0,-0.3255,0.0215,98.125538,98.125538
10,90.0,95.0,-1.0,0.0,-0.3255,0.0215,98.125538,98.125538
10,95.0,99.0,-1.0,3.0,-0.3255,1.0628,98.125538,99.1687
10,99.0,99.9,2.0,18.0,0.7157,6.269,99.1687,99.912033
10,99.9,99.99,17.0,27.0,5.9219,9.3927,99.912033,99.992114
10,99.99,99.999,26.0,35.0,9.0456,12.1694,99.992114,99.999116
10,99.999,99.9999,34.0,45.0,11.8223,15.6402,99.999116,99.999909
10,99.9999,99.99999,44.0,55.0,15.2931,19.111,99.999909,99.99999000000001
10,99.99999,100.0,54.0,71.0,18.7639,24.6643,99.99999000000001,100.0
11,0.0,25.0,-2.0,0.0,-0.4059,-0.0566,0.0,60.892674
11,25.0,50.0,-1.0,0.0,-0.2312,-0.0566,60.892674,60.892674
11,50.0,75.0,-1.0,1.0,-0.2312,0.1181,60.892674,94.67385900000001
11,75.0,90.0,0.0,1.0,-0.0566,0.1181,94.67385900000001,94.67385900000001
11,90.0,95.0,0.0,2.0,-0.0566,0.2928,94.67385900000001,96.809681
11,95.0,99.0,1.0,5.0,0.1181,0.8169,96.809681,99.092141
11,99.0,99.9,4.0,11.0,0.6422,1.8651,99.092141,99.923889
11,99.9,99.99,10.0,14.0,1.6904,2.3892,99.923889,99.990581
11,99.99,99.999,13.0,17.0,2.2145,2.9133,99.990581,99.999035
11,99.999,99.9999,16.0,21.0,2.7386,3.6121,99.999035,99.999907
11,99.9999,99.99999,20.0,26.0,3.4374,4.4855,99.999907,99.999992
11,99.99999,100.0,25.0,40.0,4.3108,6.9313,99.999992,100.0
